再次出发之纽约遇见你的评论：
猫龟🐌,10,一向对KK印象挺好的，而她这电影里文艺过了头也挺能作的…或者只是剧本空浮平庸，但KK和绿巨人互动的几场戏我作为观众看着真觉得挺尴尬，另外虽说是音乐题材电影，我在这电影里就没找到一首对味口的歌。
九尾黑猫,20,薄弱的故事与人物无法为歌曲增添神采，所以除了旋律悦耳也没有更深刻的印象。不那么动人又失败的爱情，让凯拉奈特利的难过都变得很无力。
麦子的颜色,20,"I don't listen to bad music, neither should you"
曼仔,20,一星给KK穿搭（KK骨架真是衣架子啊，复古中性风赞），一星给数字版权新时代。歌儿都是些啥啊。KK唱的更惨不忍睹。KK演技也就那样吧可能真是没表演天赋，但是MR是怎么回事？？模仿黑人酷大叔模仿的好失败。我这么一个喜欢小清新的人都受不了这电影的cheesiness了
vivi,20,2.5 自以为是自以为是自以为是
Muto,20,凯拉的表演依然不能令我信服。唯一的亮点是结构上的环状叙事，不过怎么看都像偷师科恩兄弟的《醉乡民谣》。与Once的气脉不同，情感上不再有那种醒人心骨的豁达与清晰，音乐本身的那种根入心灵的生命力和诗意也消失了。相比之下，少了朴素与灵气，实属过誉之作。
凹凸,20,听KK唱歌都会想签她的制作人不被炒鱿鱼才怪！KK极尽做作的表演没提名金球音喜影后真是大好评！
素梳影,20,对音乐剧情人物都无感，女主声音放不开似的根本放不进情感好么（英国人的缘故？），以及唱的时候面部表情像吸血鬼开口...几个男人也都既无长相也无才华...街上recording的创意给一星
奥兰少,20,跟once天差地别。最后半小时进度条掉了一些过度空洞的情节。纽约和都柏林、表演与天然、造作与真实、轻佻与沉郁。这部里面音乐都偏明亮轻快，好入耳不耐回味。不过听他们喋喋不休的时候，还是希望他们赶紧唱一会儿歌吧。
Momo June,20,歌难听声音难听 过于理想主义 这类清新片我受不了
袭击面包店,10,电影不好看。音乐不好听
大 蜹 蜹,20,难听
Mamula,20,没有静静看果然不能get到，总觉得既无音乐又无剧情
阅微草堂,10,这真的是为豆瓣量身定做的片子？？？太吻合了！小清新，情怀，文艺，情怀，暖暖的太平洋海风，浓浓的人情味，还有那不由自主展现的美式骄傲！
摩托喇嘛,20,没一首好听的……John Carney 都后悔自己拍了这片子
本位,20,感觉就是好莱坞烂俗爱情片装上了音乐的外衣，情节设置又是以感人为最终目的，很难去引起我的共鸣。
栗栗安,20,就是这种电影让我对电影和音乐产业感到悲伤
杜鹏,20,我怎么就那么讨厌这种hipster啊 喜欢这片子的人一年能听超过50张碟吗
琉璃,20,故事情节很简单，也就是歌很好听
Xingxing ZHANG,20,並沒有美劇好看
arlmy,20,5.3 归国俄航上看的，奈特莉每次笑都很出戏……结尾有点意境
大佑,20,2.6 事實就是跟音樂一樣，即使電影本身很難看，稍微潤飾一下就顯得好像還可以。但⋯編曲甚麼的真的好惡俗。交換歌單連接線是全片最好看的一段了。
jumbu,20,腻，绿茶香精那种腻。
Sophie,20,How can a music film be good if music in it is not?
马可new仔,20,这样类型的电影都向来不关注音乐天赋和灵感的由来以及人物内核的设定，虽然外表很“舒服”和“迷人” ，每个人拿起乐器都能发行唱片就是了
forfaen,20,以前没觉得女主这么丑啊。。。你跟导演有仇吧。。。
-,10,一首歌听出男友劈腿，文艺女青年总有一颗纤细敏感的心
小魔@优雅穿梭,20,Dear Producer and Director，要不是为了纽约街景我连两星都不想给你
七海,20,没看出励志，爱情片也算不上，尽显做作
Mademoiselle B,20,With Nick. 开头交待两人相遇前的故事，应该有更省力更省时的手法吧。电影最好的地方是贡献了一个浪漫的想法，在城市的各个角落里演奏音乐，充分运用该处的环境音，若真有这么一张专辑，我也愿买。电影亦好在最后没有落入窠臼，写些女主和男朋友大团圆结局之类的故事，万幸万幸。
funny_vee,20,看过，忘了。
今生、唯爱,20,感觉很绿茶，这是在教我们做人:不管经历了什么，最初的才是最好的
狂抽猛送三千下,20,没赶脚
摇啊摇,20,其实，挺俗的，男女主角最后如果打个啵，我也给个还行;女主角只有一个表情好看，表演好奇怪
少侠霸霸,20,民谣，不代表小清新。小清新，不代表高级。但凡是个女的，假装文艺，假装有品位，都要玩一把小清新，每个女的都觉得这样的自己很小资，很独特，很有水准，实则因为音乐的单薄，简单，平庸，千篇一律，带来了审美疲劳和乏味。就像这部电影，所谓的小清新，掩盖不了思想上的浅薄，叙事上的空洞，制作上的乏善可陈。
QOO,20,看到头疼
megaclaudiolis,10,难看难听...KK怎么能那么丑啊实在难以入眼- -||| 另外真不能明白胖子在想什么。
张愚,20,配不上窝第一次坐飞机
凌生,20,男朋友的背叛给了女主音乐创作的灵感。真是应了中国的那句古话:塞翁失马焉知非福。
AGPの黄昏,20,我其实不明白它想表达的是什么。几个不如意的人，凑在一起，干一番大事业？经费这些我都不说了，最重要的，歌谁来写？稀里糊涂就大卖了，所以算爽剧？
yoyonevercry,20,歌是还不错，但是剧情真是俗到开头可以猜出结尾。毫无惊喜。
forest,20,对女主无感觉
海贼拉面,20,本来是个可以及格的小清新文艺片，被凯拉奈特莉嗓音直接扣分扣到不及格，那么气若游丝的小鸡嗓子如果没有后期根本盖不过乐器，居然还能做户外现场收音？这是科幻片吧！？
L²,20,歌手不好好唱歌 演员也演不好戏
米花町哈莉奎茵,20,中文译名是什么鬼？凯拉奈特莉别演现代剧了 表演痕迹太重了...
CH23SE,20,有音乐就够了吧，但是结局？？？
Totoro,20,好想要女主背的那只小包。
朱尔赫斯,20,玩票之作
玛琦,20,这种自夸型音乐电影总是让我无法产生共鸣PS:看完后才知道这片导演编剧和once是一个人，我说怎么那么像。
Ιυβαηξ,20,无聊
小凯,20,这部电影为什么会进豆瓣250啊我真的搞不懂 特别是这女主的演技。。。可能就是250里面的二百五电影吧 EW
罌至,20,只想买ost不想再看电影一眼系列
浪漫主义狗,20,只喜欢他们录音的部分 好几个地方看到泪目 然后lost stars好听的 KK唱歌不好听 结局和我想象中的发展好不一样
丸山三好,20,这玩意儿咋火的？庆幸Keira被时代迭代了，演技真的太捉急了，应该是被罗南迭代了，虽然是个可人儿
玩具枪与玫瑰,20,居然被我姐拖着又看了一遍…不吐槽简直难受了这次……女主那种自以为是的善良我真的挺恶心，讨厌这种人就是因为她那圣光闪烁的所谓磊落和多管闲事，搞得仿佛不那样活着的人就无比龌龊一样（好吧我承认我阴暗…那我也喜欢自己╮(╯▽╰)╭
懒躺乱翻书,20,boring 加长版MV。看的时候还想怎么和《初恋这首情歌》这么像，都是MV式的电影，原来是同一个导演。
阿土伯的劳伦斯,20,感觉导演无时无刻都在提醒你，“这是一部电影哦”
须臾幼薇,20,奈特利的戏难看得犯罪，从未见过镜头感如此之差的演员，有本事多年不变也是一种英雄主义了
Yonosuke,20,一点火花都没有！歌，也就那样吧……
Sugar,20,一般吧 不过结局到不错 就是个小清新吧
插头,20,为了看这部先去看的once，被震撼到，再看这部真的音乐low了多少档次，剧情本来就无所谓。凯拉唱的还真的是作死啊
Wishbao,20,没劲
羊七,20,凯拉·奈特莉，永远都是板着一副死鱼脸在背台词。这种脸型，只适合演一个在T台上走秀的模特，面无表情，不用讲话，就够了。
Fairy,20,可能我不够爱音乐 实在欣赏不起来 kk唱得也真不行啊
盒火,20,这个导演的剧作意淫成分太大。不知道为啥这么高评分。服服的了
StephaKiddy,20,骚当唱的版本好听多了。对某演员真的完全喜欢不起来。。。
Ac,20,难听难看
未来飞行,20,这不是马老五的骚当么🙂话说有点俗的电影，困境中的救赎
判官,20,不是歌曲改变人生么?跟曾经比差太远。
永结一秋,20,音乐太没劲。
菇菇怪,10,每个友邻评分都高豆瓣top250。可是这个剧情，和我之前玩的[ ]游戏，男主磕heroin、女的劈腿拯救他，一样ex。
大师兄,10,"这电影也就能唬一些没怎么看过电影的傻逼们，彻头彻尾的copycat. 其实本来可以给两星的，但是由于全英国最令人作呕的女演员（演技差到了极！致！）——Keira Kinightley, 这电影只值半星。非常庆幸我喝醉了去看的，否则一定浪费我这41块钱中途离场。"
帕休斯,10,音乐和nyc是重点，其他一般
影子跳舞,20,"Like watching paint dry， Can’t even remember how many times I’ ve said “ JUST LEAVE HER ALONE !”

推荐自豆友Barbie MoMo。"
momo,20,男主不是我的菜 从复仇者联盟开始 就好讨厌他
研真轻,20,无法共情
摩鱼,20,这么烂的片居然分这么高，再次印证豆瓣的评分就是逗逼。1：剧情太兑付，一堆漏洞 2：玩结构玩得也挺傻逼的，跟醉乡民谣比就是一坨屎 3：凯拉大姐唱歌那台风真是无语…唱歌也不行，嘴里跟含根鸡巴似的 4：骚当的渣男也拯救不了这个大烂片。5：绿巨人算中规中矩吧6：跟好莱坞合体约翰卡尼玩砸了
养花儿的🌸,10,什么几把玩意~~~~
违章君,20,故事很别扭，演员演得也别扭，两个人明显不来电嘛，何必呢
已汪销,20,那也不是说，烘一烘氛围，给一张唱片加个超长mv就豆瓣250了🧐
小刀,20,女主一笑起来我就出戏，为什么上牙床这么突出呢；唱得不尽如人意，太用力了，一到高音与假声的地方就显得唱功不足；剧情略老套，纽约的小细节小风景、制作专辑的方式倒是不错。
yokohama,20,cheap and shallow.
kalcium,20,赛胖强推的电影有着我非常喜欢的男演员，不怎么喜欢的男胖演员，不喜欢的男歌手和非常不喜欢的女演员。。。
幻觉共有,20,剧情也太随意了吧
Dr. Joyce,20,用音樂與城市包裝的愛情片，要不是因為喜歡Keira Knightley我根本看不完，這種自慰型文青愛情片真是令人嘔吐！一顆星給怎麼樣都美的Keira Knightley，一顆星給在城市角落隨意錄音的創意和表現得很不錯的樂手們，其它就剩下文青們用來自我安慰的狗屁理想主義、老梗的奮鬥情節、矯情裝高尚的結局。
线形单调,20,一部很普通的片子，真不了你们这些看脸打分的同学！
